O*NET-SOC Code	Alternate Title	Short Title	Source(s)
49-1011.00	Equipment Maintenance Supervisor	n/a	02,04,06
49-1011.00	Equipment Superintendent	n/a	04,06
49-1011.00	Facilities Maintenance Supervisor	n/a	02
49-1011.00	Facilities Manager	n/a	02
49-1011.00	Facilities Supervisor	n/a	10
49-1011.00	Facility Maintenance Supervisor	n/a	02
49-1011.00	Facility Manager	n/a	02
49-1011.00	Farm Equipment Maintenance Supervisor	n/a	04,06
49-1011.00	Fire Fighting Equipment Maintenance Supervisor	n/a	04,06,08
49-1011.00	Fleet Maintenance Foreman	n/a	02
49-1011.00	Flight Test Supervisor	n/a	04,06
49-1011.00	Fuel System Maintenance Supervisor	n/a	04,06,08
49-1011.00	Garage Supervisor	n/a	04,06,08
49-1011.00	Garage Worker	n/a	04
49-1011.00	Garageman	n/a	06
49-1011.00	Gas Meter Repair Supervisor	n/a	08
49-1011.00	Gear Repair Supervisor	n/a	04,06,08
49-1011.00	Grip Boss	n/a	08
49-1011.00	Ground Crew Chief	n/a	04,06
49-1011.00	Head Lineman	n/a	04,06
49-1011.00	Instrument Mechanics Supervisor	n/a	04,06,08
49-1011.00	Instrument Repair Supervisor	n/a	04,06,08
49-1011.00	Instrument Shop Supervisor	n/a	04,06,08
49-1011.00	Lead Mechanic	n/a	02
49-1011.00	Leased Machinery and Equipment Service Supervisor	n/a	04,06
49-1011.00	Line Crew Supervisor	n/a	04,06
49-1011.00	Line Department Supervisor	n/a	08
49-1011.00	Line Installation Supervisor	n/a	04
49-1011.00	Line Supervisor	n/a	04,06,08
49-1011.00	Local Superintendent	n/a	04,06,08
49-1011.00	Lock Maintenance Supervisor	n/a	04,06,08
49-1011.00	Locomotive Supervisor	n/a	08
49-1011.00	Loom Fixer Supervisor	n/a	04,06
49-1011.00	Machine Erecting Millwright or Repair Lead Person	n/a	04,06
49-1011.00	Machinery Repair Maintenance Supervisor	n/a	04,06
49-1011.00	Maintenance Coordinator	n/a	02
49-1011.00	Maintenance Director	n/a	04,06
49-1011.00	Maintenance Foreman	n/a	02,09
49-1011.00	Maintenance Manager	n/a	02
49-1011.00	Maintenance Planner	n/a	02,09
49-1011.00	Maintenance Service Supervisor	n/a	04,06
49-1011.00	Maintenance Superintendent	n/a	02,04,08
49-1011.00	Maintenance Supervisor	n/a	02,04,08
49-1011.00	Marine Service Manager	n/a	04,06,08
49-1011.00	Mechanical Maintenance Foreman	n/a	02
49-1011.00	Mechanical Maintenance Supervisor	n/a	02,04,06
49-1011.00	Mechanics Supervisor	n/a	04,06
49-1011.00	Meter and Regulator Shop Supervisor	n/a	04,06
49-1011.00	Meter Repair Shop Supervisor	n/a	04,06,08
49-1011.00	Meter Shop Supervisor	n/a	04,06,08
49-1011.00	Meter Supervisor	n/a	04,06
49-1011.00	Meters Superintendent	n/a	08
49-1011.00	Millwright Supervisor	n/a	04,06,08
49-1011.00	Mobile Battery Equipment Maintenance Supervisor	n/a	08
49-1011.00	Motor Equipment Commanding Officer	n/a	08
49-1011.00	Motorcycle Repair Shop Supervisor	n/a	04,06,08
49-1011.00	Office Machine Service Supervisor	n/a	04,06,08
49-1011.00	Oil Field Equipment Mechanic Supervisor	n/a	04,06,08
49-1011.00	Outside Machinist Supervisor	n/a	04,06
49-1011.00	Pin-Setting Machine Installation Superintendent	n/a	08
49-1011.00	Plant Maintenance Supervisor	n/a	02
49-1011.00	Plant Wire Chief	n/a	04,06
49-1011.00	Powerhouse Mechanic Supervisor	n/a	04,06,08
49-1011.00	Preventive Maintenance Coordinator	n/a	08
49-1011.00	Production Crew Supervisor	n/a	02
49-1011.00	Protective Signal Superintendent	n/a	08
49-1011.00	Pump Service Supervisor	n/a	04,06
49-1011.00	Pump Servicer Supervisor	n/a	08
49-1011.00	Radio Interference Supervisor	n/a	04,06,08
49-1011.00	Railroad Car Repair Supervisor	n/a	04,06,08
49-1011.00	Reclamation Supervisor	n/a	04,06
49-1011.00	Refrigeration Repair Supervisor	n/a	04,06
49-1011.00	Refueling Ramp Supervisor	n/a	04,06
49-1011.00	Repair Department Manager	n/a	04,06
49-1011.00	Repair Department Supervisor	n/a	04
49-1011.00	Repair Supervisor	n/a	06
49-1011.00	Repeater Chief	n/a	04,06
49-1011.00	Retread Supervisor	n/a	04,06
49-1011.00	Rig Manager	n/a	09
49-1011.00	Rigger Supervisor	n/a	04,06,08
49-1011.00	Roundhouse Supervisor	n/a	04,06,08
49-1011.00	Salvage Supervisor	n/a	08
49-1011.00	Section Hand	n/a	04,06
49-1011.00	Section Supervisor	n/a	02
49-1011.00	Service and Repair Supervisor	n/a	04,06
49-1011.00	Service Manager	n/a	02,04,06,08,10
49-1011.00	Service Supervisor	n/a	04,06,08
49-1011.00	Shop Foreman	n/a	02
49-1011.00	Shop Manager	n/a	02
49-1011.00	Signal Supervisor	n/a	08
49-1011.00	Smoke Control Supervisor	n/a	08
49-1011.00	Sound Technician Supervisor	n/a	08
49-1011.00	Station Installation Supervisor	n/a	04,06
49-1011.00	Steam Distribution Supervisor	n/a	08
49-1011.00	Storage Garage Manager	n/a	04,06
49-1011.00	Street Light Servicer Supervisor	n/a	04,06,08
49-1011.00	Substation Electrician Supervisor	n/a	08
49-1011.00	Subway Repair Supervisor	n/a	04,06
49-1011.00	Supercharge Repair Supervisor	n/a	04,06
49-1011.00	Supercharger Repair Supervisor	n/a	08
49-1011.00	Superintendent	n/a	02,04
49-1011.00	Tank and Amphibian Tractor Operations Chief	n/a	04,06,08
49-1011.00	Team Leader	n/a	02
49-1011.00	Technical Supervisor	n/a	04,06
49-1011.00	Telephone Installers and Repairers Supervisor	n/a	04,06
49-1011.00	Test Deck Supervisor	n/a	04,06
49-1011.00	Test Desk Supervisor	n/a	08
49-1011.00	Tire Service Supervisor	n/a	04,06,08
49-1011.00	Transmission Maintenance Supervisor	n/a	04,06
49-1011.00	Transmission Supervisor	n/a	04,06
49-1011.00	Truck Repair Supervisor	n/a	04,06
49-1011.00	Utilities and Maintenance Supervisor	n/a	04,06
49-1011.00	Utility Mechanic Supervisor	n/a	02
49-1011.00	Water Softener Service Supervisor	n/a	08
49-1011.00	Welding Equipment Repairer Supervisor	n/a	08
49-1011.00	Wheel Shop Supervisor	n/a	04,06,08
49-1011.00	Wire Chief	n/a	04,06
49-1011.00	Wireworker Supervisor	n/a	04,06,08
49-2011.00	Accounting Machine Mechanic	n/a	04,06
49-2011.00	Adding Machine Mechanic	n/a	04,06
49-2011.00	Assembly Technician	n/a	08
49-2011.00	ATM Servicer	n/a	04
49-2011.00	ATM Technician (Automated Teller Machine Technician)	ATM Technician	02
49-2011.00	Bookkeeping Machine Mechanic	n/a	04,06
49-2011.00	Business Machine Mechanic	n/a	04,06
49-2011.00	Calculating Machine Mechanic	n/a	04,06
49-2011.00	Cash Register Mechanic	n/a	04,06
49-2011.00	Cash Register Servicer	n/a	04,08
49-2011.00	Computer Equipment Installer	n/a	04,06
49-2011.00	Computer Equipment Repairer	n/a	04,06
49-2011.00	Computer Installer	n/a	04,06
49-2011.00	Computer Mechanic	n/a	04,06
49-2011.00	Computer Repair Engineer	n/a	04,06
49-2011.00	Computer Repair Technician	n/a	02,04
49-2011.00	Computer Repairer	n/a	04
49-2011.00	Computer Service Technician	n/a	04,06
49-2011.00	Computer Technician	n/a	02
49-2011.00	Computer Technologist	n/a	09
49-2011.00	Computing Systems Mechanic	n/a	04,06
49-2011.00	Copier and Printer Field Technician	n/a	10
49-2011.00	Copier Technician	n/a	02,04,09
49-2011.00	Copying Machine Mechanic	n/a	04,06
49-2011.00	Copying Machine Repairer	n/a	04
49-2011.00	Customer Service Engineer	n/a	02
49-2011.00	Data Processing Equipment Repairer	n/a	04,08
49-2011.00	Data Processing Mechanic	n/a	04,06
49-2011.00	Dictaphone Mechanic	n/a	04,06
49-2011.00	Dictaphone Technician	n/a	04,06
49-2011.00	Dictating Machine Mechanic	n/a	04,06
49-2011.00	Dictating Transcribing Machine Servicer	n/a	04,06
49-2011.00	Duplicating Machine Mechanic	n/a	04,06
49-2011.00	Electronics Computer Mechanic	n/a	04,06
49-2011.00	Electronics Mechanic	n/a	08
49-2011.00	Fax Machine Repairer	n/a	04,06
49-2011.00	Field Engineer	n/a	02
49-2011.00	Field Service Engineer	n/a	02
49-2011.00	Field Service Technician	n/a	02
49-2011.00	Field Support Technician	n/a	01
49-2011.00	Field Technician	n/a	02
49-2011.00	Information Technology Technician (IT Technician)	IT Technician	10
49-2011.00	Machine Repairman	n/a	09
49-2011.00	Mail Processing Equipment Mechanic	n/a	04,06,08
49-2011.00	Office Machine Installer	n/a	04,06
49-2011.00	Office Machine Mechanic	n/a	04,06
49-2011.00	Office Machine Servicer	n/a	08
49-2011.00	Office Machinery or Equipment Installer	n/a	06
49-2011.00	Office Machines Wirer	n/a	04,06
49-2011.00	PC Technician (Personal Computer Technician)	PC Technician	01
49-2011.00	Personal Computer Maintenance Technician (PC Maintenance Tech)	PC Maintenance Tech	09
49-2011.00	Photocopying Equipment Mechanic	n/a	04,06
49-2011.00	Photocopying Equipment Repairer	n/a	04
49-2011.00	Printer Technician	n/a	10
49-2011.00	Repair Technician	n/a	10
49-2011.00	Service Center Technician	n/a	01
49-2011.00	Service Technician	n/a	02
49-2011.00	Soundscriber Mechanic	n/a	04,06
49-2011.00	Statistical Machine Mechanic	n/a	04,06
49-2011.00	Statistical Machine Servicer	n/a	04,06
49-2011.00	Support Technician	n/a	10
49-2011.00	Tabulating Machine Mechanic	n/a	04,06
49-2011.00	Technician Support Association	n/a	10
49-2011.00	Technician Support Engineer	n/a	10
49-2011.00	Transcribing Machine Mechanic	n/a	04,06
49-2011.00	Typewriter Aligner	n/a	08
49-2011.00	Typewriter Mechanic	n/a	04,06
49-2011.00	Typewriter Repairer	n/a	04,06,08
49-2011.00	Xerox Machine Mechanic	n/a	04,06
49-2021.00	Avionics Repair Technician	n/a	02
49-2021.00	Avionics Technician	n/a	02
49-2021.00	Cell Tower Climber	n/a	08
49-2021.00	Cellular Equipment Installer	n/a	08
49-2021.00	Cellular Equipment Repairer	n/a	08
49-2021.00	Cellular Tower Climber	n/a	08
49-2021.00	Certified Tower Climber	n/a	08
49-2021.00	Communications Tower Climber	n/a	08
49-2021.00	Communications Tower Technician	n/a	02,08
49-2021.00	Field Service Technician	n/a	02
49-2021.00	Installation Technician (Installation Tech)	Installation Tech	02
49-2021.00	Installer	n/a	02
49-2021.00	Land Mobile Radio Technician	n/a	10
49-2021.00	Microwave Radio Technician	n/a	10
49-2021.00	Radio Equipment Installer	n/a	08
49-2021.00	Radio Equipment Repairer	n/a	08
49-2021.00	Radio Frequency Technician	n/a	04
49-2021.00	Radio Maintainer	n/a	10
49-2021.00	Radio Mechanic	n/a	04
49-2021.00	Radio Repairer	n/a	04
49-2021.00	Radio Technician	n/a	02
49-2021.00	Radio Tower Technician	n/a	08
49-2021.00	Telecommunication Tower Technician	n/a	03
49-2021.00	Tower Climber	n/a	02,08
49-2021.00	Tower Equipment Installer	n/a	08
49-2021.00	Tower Equipment Repairer	n/a	08
49-2021.00	Tower Hand	n/a	02
49-2021.00	Tower Technician	n/a	02,08
49-2021.00	Two-Way Radio Installer	n/a	10
49-2021.00	Two-Way Radio Technician	n/a	04
49-2021.00	Wireless Cellular Technician	n/a	03
49-2021.01	Broadcasting Equipment Mechanic	n/a	04,06
49-2021.01	Electronic Equipment Repairer	n/a	08
49-2021.01	Electronics Technician	n/a	02
49-2021.01	Field Radio Technician	n/a	10
49-2021.01	Field Service Technician	n/a	02
49-2021.01	Field Technician	n/a	02
49-2021.01	Land Mobile Radio Technician	n/a	10
49-2021.01	Microwave Radio Technician	n/a	10
49-2021.01	Radio Adjuster	n/a	04,06
49-2021.01	Radio Electrician	n/a	04,06,08
49-2021.01	Radio Frequency Technician	n/a	02,04
49-2021.01	Radio Installer	n/a	04,06
49-2021.01	Radio Machinist	n/a	04,06
49-2021.01	Radio Maintainer	n/a	04,06
49-2021.01	Radio Mechanic	n/a	04
49-2021.01	Radio Mechanic Apprentice	n/a	04,06
49-2021.01	Radio Repairer	n/a	04,06
49-2021.01	Radio Repairman	n/a	02
49-2021.01	Radio Rigger	n/a	04,06
49-2021.01	Radio Technician	n/a	02,04,06
49-2021.01	Radio Tester	n/a	04,06
49-2021.01	Technician	n/a	04
49-2021.01	Two-Way Radio Installer	n/a	10
49-2021.01	Two-Way Radio Technician	n/a	02,04
49-2022.00	Antenna Installer	n/a	08
49-2022.00	Assigner	n/a	04,06
49-2022.00	Automatic Equipment Technician	n/a	08
49-2022.00	Broadband Installer	n/a	10
49-2022.00	Broadband Technician	n/a	09
49-2022.00	Cable Television Installer (Cable TV Installer)	Cable TV Installer	09
49-2022.00	Cable Television Line Technician	n/a	08
49-2022.00	Cable Television Technician (CATV Technician)	CATV Technician	02
49-2022.00	Call Box Wirer	n/a	04,06
49-2022.00	Call Circuit Worker	n/a	04,06
49-2022.00	Central Office Equipment Installer	n/a	04,06
49-2022.00	Central Office Frame Wirer	n/a	08
49-2022.00	Central Office Mechanic	n/a	04,06
49-2022.00	Central Office Repairer	n/a	08
49-2022.00	Central Office Technician	n/a	02
49-2022.00	Central Office Trouble Shooter	n/a	04,06
49-2022.00	Central Office Worker (CO Worker)	CO Worker	04,06
49-2022.00	Combination Technician	n/a	02
49-2022.00	Communication Equipment Mechanic	n/a	08
49-2022.00	Communication Equipment Repairer	n/a	08
49-2022.00	Communications Equipment Installer	n/a	04,06
49-2022.00	Communications Equipment Repair Technician	n/a	06
49-2022.00	Communications Technician	n/a	02,04
49-2022.00	Community Antenna Television Line Technician	n/a	04,06
49-2022.00	Customer Service Technician (CST)	CST	02
49-2022.00	Data Communications Technician	n/a	08
49-2022.00	Desk Worker	n/a	04
49-2022.00	DSL Technician (Digital Subscriber Line Technician)	DSL Technician	02
49-2022.00	Electronic Systems Technician (EST)	EST	08
49-2022.00	Electronics Mechanic	n/a	04,06
49-2022.00	Electronics Mechanic Apprentice	n/a	04,06
49-2022.00	Equipment Installer	n/a	04,06,08
49-2022.00	Equipment Mechanic	n/a	04,06
49-2022.00	Equipment Tester	n/a	04,06
49-2022.00	Erector	n/a	04
49-2022.00	Exchange Mechanic	n/a	04,06
49-2022.00	Exchange Trouble Shooter	n/a	04,06
49-2022.00	Facility Examiner	n/a	04,06,08
49-2022.00	Facility Technician	n/a	04,06
49-2022.00	Facility Worker	n/a	04
49-2022.00	Fiber Optic Central Office Installer	n/a	04
49-2022.00	Field Service Engineer	n/a	10
49-2022.00	Field Services Technician	n/a	02
49-2022.00	Field Technician	n/a	02
49-2022.00	Framer	n/a	04,06
49-2022.00	Headend Technician	n/a	04
49-2022.00	Information Transport Systems Technician	n/a	03
49-2022.00	Inside Wirer	n/a	04,06
49-2022.00	Install / Repair Technician	n/a	02
49-2022.00	Installer	n/a	02
49-2022.00	Installer Apprentice	n/a	04,06
49-2022.00	Installer Electronics	n/a	04,06
49-2022.00	Instrument Adjuster	n/a	04,06
49-2022.00	Instrument Installer	n/a	04,06
49-2022.00	Instrument Mechanic	n/a	04
49-2022.00	Instrument Repairer	n/a	08
49-2022.00	Instrument Setter	n/a	04,06
49-2022.00	Interior Block Wirer	n/a	04,06
49-2022.00	Manual Equipment Mechanic	n/a	04,06
49-2022.00	Mother (Matrix) Repairer	n/a	04,06
49-2022.00	Network Cable Installer	n/a	09
49-2022.00	Network Cabler	n/a	08
49-2022.00	Network Operations Center Technician	n/a	08
49-2022.00	Network Specialist	n/a	02
49-2022.00	Office Electrician	n/a	04,06,08
49-2022.00	Outside Plant Technician	n/a	02
49-2022.00	PBX Installer (Private Branch Exchange Installer)	PBX Installer	04,06
49-2022.00	PBX Mechanic (Private Branch Exchange Mechanic)	PBX Mechanic	04,06
49-2022.00	PBX Repairer (Private Branch Exchange Repairer)	PBX Repairer	08
49-2022.00	PBX Wire Chief (Private Branch Exchange Wire Chief)	PBX Wire Chief	04,06
49-2022.00	Plant and Equipment Worker (P&E Worker)	P&E Worker	04,06
49-2022.00	Plant and Maintenance Technician	n/a	08
49-2022.00	Plant Technician	n/a	02
49-2022.00	Power Technician	n/a	04,06
49-2022.00	Premises Technician	n/a	10
49-2022.00	Private Branch Exchange Installer and Repairer	n/a	04
49-2022.00	Public Address Servicer	n/a	08
49-2022.00	Relay Adjuster	n/a	04,06
49-2022.00	Relay Mechanic	n/a	04,06
49-2022.00	Remote Terminal Installer	n/a	02
49-2022.00	Repairer, Shop, Instrument	n/a	04,06
49-2022.00	Rigger	n/a	08
49-2022.00	Satellite Communications Antenna Installer	n/a	08
49-2022.00	Satellite Technician	n/a	09
49-2022.00	Service Engineer	n/a	04,06
49-2022.00	Service Technician	n/a	02
49-2022.00	Simplex Printer Installer	n/a	04,06
49-2022.00	Sound System Installer	n/a	04,06
49-2022.00	Sound Technician	n/a	08
49-2022.00	Special Equipment Technician	n/a	02
49-2022.00	Splicer Apprentice	n/a	04,06
49-2022.00	Station Inspector	n/a	04,06
49-2022.00	Station Mechanic	n/a	04,06
49-2022.00	Submarine Cable Equipment Technician	n/a	08
49-2022.00	Switch Box Installer	n/a	04,06
49-2022.00	Switch Technician	n/a	09
49-2022.00	Switchboard Installer	n/a	04,06
49-2022.00	Switchboard Mechanic	n/a	04,06
49-2022.00	Switchboard Trouble Shooter	n/a	04,06
49-2022.00	Switchboard Wirer	n/a	04,06
49-2022.00	Switchman	n/a	04,06
49-2022.00	Telecommunication Equipment Repairer	n/a	06
49-2022.00	Telecommunications Facility Examiner	n/a	08
49-2022.00	Telecommunications Repairer	n/a	04
49-2022.00	Telecommunications Switch Technician	n/a	02,04
49-2022.00	Telecommunications Technician	n/a	02,08
49-2022.00	Telegraph Installer	n/a	04,06
49-2022.00	Telegraph Mechanic	n/a	04,06
49-2022.00	Telegraph Plant Maintainer	n/a	04,06
49-2022.00	Telegraph Printer Mechanic	n/a	04,06
49-2022.00	Telegraph Repeater Installer	n/a	04,06
49-2022.00	Telegraph Repeater Mechanic	n/a	04,06
49-2022.00	Telegraphic Typewriter Installer	n/a	04,06
49-2022.00	Telegraphic Typewriter Mechanic	n/a	04,06
49-2022.00	Telephone Installer	n/a	04,06
49-2022.00	Telephone Installer / Repairman	n/a	02
49-2022.00	Telephone Maintainer	n/a	04,06
49-2022.00	Telephone Maintenance Mechanic	n/a	08
49-2022.00	Telephone Mechanic	n/a	04,06
49-2022.00	Telephone Station Installer	n/a	08
49-2022.00	Telephone Station Repairer	n/a	08
49-2022.00	Telephone Technician (Phone Technician)	Phone Technician	02,09
49-2022.00	Telephone Worker	n/a	04
49-2022.00	Teletype Adjuster	n/a	04,06
49-2022.00	Teletype Installer	n/a	04,06
49-2022.00	Teletype Mechanic	n/a	04,06
49-2022.00	Teletype Technician	n/a	04,06
49-2022.00	Teletypewriter Installer	n/a	04,06
49-2022.00	Test Desk Operator	n/a	04
49-2022.00	Test Deskman	n/a	04,06
49-2022.00	Test Technician	n/a	04
49-2022.00	Test Worker	n/a	04
49-2022.00	Testboard Operator	n/a	04,06
49-2022.00	Ticker Installer	n/a	04,06
49-2022.00	Ticker Maintainer	n/a	04,06
49-2022.00	Ticker Wirer	n/a	04,06
49-2022.00	Time Signal Wirer	n/a	04,06
49-2022.00	Toll Mechanic	n/a	04,06
49-2022.00	Toll Test Desk Worker	n/a	04
49-2022.00	Toll Test Worker	n/a	04
49-2022.00	Toll Testboard Worker	n/a	04
49-2022.00	Toll Transmission Worker	n/a	04
49-2022.00	Transmission Systems Operator	n/a	10
49-2022.00	Transmission Tester	n/a	04,06
49-2022.00	Transmission Worker	n/a	04
49-2022.00	Transmitter Chief	n/a	04,06
49-2022.00	Trouble Shooter	n/a	04
49-2022.00	Trouble Tracer	n/a	04,06
49-2022.00	Voltmeter Operator	n/a	04,06
49-2022.00	Wire Technician	n/a	10
49-2022.00	Wireless Technician	n/a	09
49-2022.00	Wirer	n/a	04
49-2091.00	Aircraft Armament Mechanic	n/a	04,06
49-2091.00	Aircraft Electrical Systems Specialist	n/a	02
49-2091.00	Aircraft Electrician	n/a	04,06,08
49-2091.00	Aircraft Instrument Mechanic	n/a	04,06
49-2091.00	Aircraft Technician	n/a	02
49-2091.00	Airplane Electrical Repairer	n/a	04,06
49-2091.00	Airplane Electrician	n/a	04,06
49-2091.00	Airplane Technician	n/a	09
49-2091.00	Armament Mechanic	n/a	04,06
49-2091.00	Armament Repairer	n/a	10
49-2091.00	Automatic Pilot Mechanic	n/a	04,06
49-2091.00	Aviation Electrical Technician	n/a	02
49-2091.00	Aviation Electrician	n/a	09
49-2091.00	Aviation Electronics Technician	n/a	02,04,09
49-2091.00	Aviation Maintenance Technician	n/a	09
49-2091.00	Avionics Electronics Technician	n/a	02
49-2091.00	Avionics Installer	n/a	02
49-2091.00	Avionics Manager	n/a	02
49-2091.00	Avionics Systems Integration Specialist	n/a	02
49-2091.00	Avionics Systems Repairer	n/a	10
49-2091.00	Avionics Technician	n/a	02
49-2091.00	Electrical and Radio Aircraft Mechanic	n/a	04,06
49-2091.00	Electrical and Radio Mechanic	n/a	08
49-2091.00	Electrical Installer	n/a	04,06
49-2091.00	Electronic Technician	n/a	02
49-2091.00	In-Flight Refueling System Repairer	n/a	04,06,08
49-2091.00	Instrument Specialist	n/a	04,06
49-2091.00	Instrument Tester	n/a	04,06
49-2091.00	Missile Facilities Repairer	n/a	04,06
49-2091.00	Mobile Electronics Installer	n/a	04,06
49-2091.00	Wirer	n/a	04
49-2092.00	AC/DC Motor Repair Person	n/a	02
49-2092.00	AC/DC Rewinder	n/a	04
49-2092.00	AC/DC Winder	n/a	02
49-2092.00	Armature Rewinder	n/a	04,06
49-2092.00	Armature Winder Repairer	n/a	08
49-2092.00	Assembler, Generator, Repair	n/a	04,06
49-2092.00	Automotive Generator and Starter Repairer	n/a	08
49-2092.00	Battery Charger	n/a	08
49-2092.00	Battery Inspector	n/a	08
49-2092.00	Battery Mechanic	n/a	04,06
49-2092.00	Battery Repairer	n/a	04,08
49-2092.00	Buffing and Polishing Wheel Repairer	n/a	08
49-2092.00	Calibrator	n/a	08
49-2092.00	Cell Changer	n/a	08
49-2092.00	Cell Installer	n/a	08
49-2092.00	Cell Repairer	n/a	08
49-2092.00	Chemical Cell Changer	n/a	04,06
49-2092.00	Dynamo Repairer	n/a	04
49-2092.00	Dynamo Tender	n/a	04,06
49-2092.00	Dynamometer Mechanic	n/a	04,06
49-2092.00	Electric Engine Mechanic	n/a	04,06
49-2092.00	Electric Golf Cart Repairer	n/a	08
49-2092.00	Electric Motor Analyst	n/a	04,06
49-2092.00	Electric Motor Assembler and Tester	n/a	08
49-2092.00	Electric Motor Fitter	n/a	04,06
49-2092.00	Electric Motor Mechanic	n/a	04,06
49-2092.00	Electric Motor Rebuilder	n/a	04,06
49-2092.00	Electric Motor Repairman	n/a	02
49-2092.00	Electric Motor Rewinder	n/a	02,04
49-2092.00	Electric Motor Tester Assembler	n/a	04,06
49-2092.00	Electric Motor Winder	n/a	02
49-2092.00	Electric Switch Repairer	n/a	08
49-2092.00	Electric Tool Repairer	n/a	04,06
49-2092.00	Electrical Contacts Adjuster	n/a	08
49-2092.00	Electrical Mechanic	n/a	04,06
49-2092.00	Electrical Mechanical Technician	n/a	09
49-2092.00	Electrical Parts Reconditioner	n/a	04,08
49-2092.00	Electrical Technician	n/a	04,06
49-2092.00	Electrician	n/a	02
49-2092.00	Electro Mechanic	n/a	02
49-2092.00	Electronic Technician	n/a	04,06
49-2092.00	Emergency Generator Mechanic	n/a	04,06
49-2092.00	Generator Mechanic	n/a	04,06
49-2092.00	Generator Repairer	n/a	03
49-2092.00	Golf Cart Repairer	n/a	04
49-2092.00	Hand and Portable Power Tool Repairer	n/a	08
49-2092.00	Large Emergency Storage Battery Maintainer	n/a	04,06,08
49-2092.00	Lathe Mechanic	n/a	04,06
49-2092.00	Machinist	n/a	02
49-2092.00	Magneto Repairer	n/a	04,06
49-2092.00	Maintenance Electrician	n/a	02
49-2092.00	Maintenance Technician	n/a	02
49-2092.00	Mechanic	n/a	02
49-2092.00	Mechanical Technician	n/a	10
49-2092.00	Mercury Cell Cleaner	n/a	04,06
49-2092.00	Motor Electrician	n/a	04,06
49-2092.00	Motor Mechanic	n/a	02,04
49-2092.00	Motor Rebuilder	n/a	04
49-2092.00	Motor Rewinder	n/a	02
49-2092.00	Power Tool Repair Technician	n/a	02
49-2092.00	Power Transformer Repairer	n/a	08
49-2092.00	Propulsion Motor and Generator Repairer	n/a	08
49-2092.00	Repair Electric Motor Assembler	n/a	04,06
49-2092.00	Repair Technician	n/a	02
49-2092.00	Salvage Repairer	n/a	08
49-2092.00	Saw Repairer	n/a	04,06
49-2092.00	Service Technician	n/a	02
49-2092.00	Sewing Machine Adjuster	n/a	04,06
49-2092.00	Starter Mechanic	n/a	04,06
49-2092.00	Switchgear Repairer	n/a	06,08
49-2092.00	Tool Maintenance Worker	n/a	08
49-2092.00	Tool Repair Technician	n/a	02
49-2092.00	Tool Repairer	n/a	08
49-2092.00	Tool Technician	n/a	02
49-2092.00	Transformer Mechanic	n/a	04,06
49-2092.00	Transformer Repairer	n/a	08
49-2092.00	Vacuum Cleaner Repair Person	n/a	02
49-2092.00	Wind Generating Electric Power Installer	n/a	08
49-2093.00	Boat Builder	n/a	02
49-2093.00	Boat Rigger	n/a	02
49-2093.00	Body Wirer	n/a	08
49-2093.00	Controller Repairer and Tester	n/a	08
49-2093.00	Critical Power Install Technician	n/a	10
49-2093.00	Critical Power Technician	n/a	10
49-2093.00	Critical Systems Technician	n/a	02
49-2093.00	Electrical and Electronics Installer and Repairer	n/a	10
49-2093.00	Electrical Plumbing Supervisor	n/a	10
49-2093.00	Electrical Troubleshooter	n/a	10
49-2093.00	Electrician	n/a	02
49-2093.00	Electronic Bench Technician	n/a	02
49-2093.00	Electronic Repair Troubleshooter	n/a	10
49-2093.00	Electronic Technician	n/a	02
49-2093.00	Electronics Mechanic	n/a	02
49-2093.00	Global Technical Controls Troubleshooter	n/a	10
49-2093.00	Heavy Equipment Plumbing Supervisor	n/a	10
49-2093.00	Hydrostatic Tubing Tester	n/a	10
49-2093.00	Locomotive Electrician	n/a	02,04,06,08
49-2093.00	Marine Electrician	n/a	02
49-2093.00	Marine Electronics Repairer	n/a	04
49-2093.00	Marine Electronics Technician	n/a	04,08
49-2093.00	Mechanical Electrical Plumbing Supervisor (MEP Supervisor)	MEP Supervisor	02
49-2093.00	Mechanical Electrical Plumbing Technician (MEP Technician)	MEP Technician	10
49-2093.00	Metrology Technician	n/a	03
49-2093.00	Mobile Electronics Installer	n/a	04,06
49-2093.00	Motor Home Electrical Foreman	n/a	02
49-2093.00	Production Troubleshooter	n/a	10
49-2093.00	Radio Technician	n/a	02
49-2093.00	Reel Repairer	n/a	10
49-2093.00	Repairer, Controller, Tester	n/a	04,06
49-2093.00	Security Systems Installer	n/a	04,06
49-2093.00	Ship Yard Electrical Person	n/a	02
49-2093.00	Troubleshooter	n/a	02
49-2093.00	Tubing Tester	n/a	10
49-2093.00	Wirer	n/a	04
49-2094.00	Aerial Erector	n/a	04,06
49-2094.00	Aerial Installer	n/a	04
49-2094.00	Amplifier Mechanic	n/a	04,06
49-2094.00	Automation Mechanic	n/a	08
49-2094.00	Boardman	n/a	04,06
49-2094.00	Certified Control Systems Technician	n/a	08
49-2094.00	Computerized Environmental Control Installer	n/a	08
49-2094.00	Control Equipment Electrician	n/a	08
49-2094.00	Control Systems Technician	n/a	09
49-2094.00	Control Technician	n/a	02
49-2094.00	Electrical and Instrument Mechanic	n/a	02
49-2094.00	Electrical and Instrument Technician (E&I Tech)	E&I Tech	02
49-2094.00	Electrical and Instrumentation Mechanic	n/a	02
49-2094.00	Electrical Assistant	n/a	09
